time,x,y,z
42848288424,-0.94873,-0.239258,-0.330078
42848293815,-0.950195,0.102539,-0.237793
42848309648,-0.835449,0.106934,-0.059082
42848332892,-1.04785,0.447754,0.393555
42848353799,-1.12451,0.226562,0.123047
42848378854,-0.942871,-0.191895,0.0317383
42848392756,-1.08008,0.594727,0.0649414
42848413822,-1.05029,-0.218262,0.0527344
42848429623,-0.84668,0.0205078,0.497559
42848453277,-1.10205,-0.197266,0.105957
42848482874,-0.894531,-0.318359,0.0981445
42848489580,-1.14502,0.924316,-0.207031
42848512553,-1.05957,-0.131348,-0.230469
42848557469,-0.972168,0.219727,0.182617
42848563798,-1.02246,0.0751953,0.0976562
42848572275,-0.97998,-0.508789,0.226562
42848593835,-1.08789,0.419434,0.163574
42848623914,-0.830078,-0.479004,-0.185547
42848632214,-1.13623,0.149902,0.0288086
42848655303,-1.02295,0.36084,-0.127441
42848669781,-0.955078,-0.0908203,-0.348145
42848692125,-0.962891,-0.0263672,-0.0834961
42848713817,-0.990723,0.00195312,-0.0678711
42848729647,-0.959473,-0.288574,-0.0605469
42848760328,-0.991211,-0.130371,-0.183594
42848775367,-1.06934,-0.0380859,-0.203613
42848797766,-0.93457,-0.137207,-0.140625
42848812173,-1.06982,0.0166016,-0.203613
42848835914,-0.991699,-0.0776367,-0.240234
42848849629,-1.0459,0.0664062,-0.158691
42848872191,-0.984375,-0.0297852,-0.0478516
42848901390,-1.00928,0.00976562,0.0678711
42848909637,-1.03857,0.106934,0.188965
42848941789,-0.985352,0.081543,0.231445
42848955296,-1.02246,0.0585938,0.211914
42848969819,-1.02441,0.0224609,0.233398
42848992151,-1.02539,0.0986328,0.184082
42849015260,-1.0874,0.13623,0.171387
42849037177,-1.06738,0.234375,0.15918
42849051418,-1.01807,0.183105,0.190918
42849076005,-1.00098,0.140137,0.244141
42849088840,-1.03369,0.0332031,0.224609
42849111378,-1.08936,0.14209,0.216309
42849125861,-1.05518,0.209961,0.102051
42849148980,-0.974609,-0.00927734,-0.0917969
42849171573,-0.84082,-0.17041,-0.431152
42849185784,-0.791016,-0.216309,-0.499512
42849208931,-0.609863,-0.927734,-0.757324
42849231576,-0.5,-1.28516,-0.543945
42849247191,-0.649902,-1.07715,-0.537109
42849268976,-0.795898,-0.953125,-0.364746
42849283244,-0.80957,-0.678223,-0.197754
42849314537,-0.706055,-0.257324,-0.200195
42849328854,-0.946289,0.10791,-0.136719
42849352853,-1.0708,0.0854492,-0.130371
42849365706,-1.0542,-0.0712891,0.074707
42849388943,-0.902832,0.245117,0.10498
42849403235,-0.998047,0.0249023,0.112305
42849425855,-0.996094,-0.0859375,0.126953
42849457039,-1.02832,0.30957,0.110352
42849463210,-1.06006,0.107422,0.245605
42849485953,-1.04297,0.360352,0.25
42849508861,-0.992188,-0.184082,0.241211
42849524755,-1.04248,0.231934,0.292969
42849545707,-0.972168,-0.00195312,-0.0825195
42849569004,-1.03467,0.0224609,0.379883
42849583374,-1.09473,0.342773,0.0571289
42849605730,-0.961914,-0.331543,-0.0683594
42849628954,-1,0.319336,0.00488281
42849651172,-0.995117,-0.144531,-0.208496
42849665732,-1.04834,-0.0893555,-0.137207
42849697110,-0.994629,-0.115234,-0.324707
42849703282,-0.923828,-0.287598,-0.474121
42849733961,-1.05322,0.114258,-0.254883
42849748287,-1,-0.0258789,-0.303711
42849772935,-0.977051,-0.146484,-0.179199
42849785947,-1.03076,0.034668,-0.122559
42849808233,-1.00732,0.0615234,-0.0195312
42849823421,-1,0.012207,0.0717773
42849845720,-1.01904,-0.0371094,0.118652
42849868340,-1.03418,0.0634766,0.20459
42849883416,-1.03125,0.143066,0.100586
42849905763,-1.09473,0.0639648,0.0463867
42849945287,-1.0625,0.197266,0.0830078
42849947705,-1.05908,0.21875,0.211426
42849973900,-1.04395,0.145508,0.133789
42849988262,-1.00781,-0.0493164,0.162598
42850011456,-1.04102,0.119141,0.12793
42850025715,-1.06787,0.177734,0.000488281
42850049713,-1.02393,0.0751953,-0.0810547
42850063278,-0.95459,-0.118652,-0.271484
42850085933,-0.8125,-0.410645,-0.375
42850117169,-0.61084,-0.717773,-0.537109
42850123409,-0.615723,-0.98584,-0.483887
42850145729,-0.730469,-0.961426,-0.44873
42850168264,-0.791992,-0.796387,-0.461914
42850184820,-0.728027,-0.613281,-0.320801
42850205719,-0.802246,-0.276367,-0.275879
42850228328,-0.891113,-0.149414,-0.157227
42850251454,-0.987305,0.0131836,-0.0151367
42850265770,-0.950195,0.0913086,0.0229492
42850289724,-0.991699,-0.0258789,0.246582
42850303214,-1.06299,-0.0566406,0.170898
42850335575,-0.92041,-0.0654297,0.22168
42850348235,-1.05127,0.46875,0.17627
42850363227,-1.03125,-0.259766,0.338379
42850393949,-0.993164,0.433105,0.211914
42850408233,-1.06348,-0.065918,0.00634766
42850423447,-1.01416,0.229492,0.247559
42850445768,-1.16309,0.51416,0.0644531
42850468459,-0.888184,-0.334961,0.198242
42850492590,-1.10303,0.178711,0.259277
42850505773,-1,-0.0683594,-0.209473
42850528354,-0.899414,-0.0771484,-0.255859
42850544776,-1.1167,0.432129,-0.367676
42850567406,-0.888184,-0.385742,-0.439941
